2676,,,,,,,,
283,r      ,283,3.159,1.329,3.166,0.0487,-0.0362,-0.1079
284,r      ,284,3.964,3.618,2.454,-0.134,-0.1321,0.2231
285,r      ,285,1.637,1.833,0.906,0.0527,-0.0708,-0.0984
286,r      ,286,4.915,2.844,1.222,0.0362,0.05,0.3012
287,r      ,287,4.725,1.279,2.798,0.1944,0.1165,0.0568
288,r      ,288,2.719,0.943,0.655,-0.0283,-0.0587,-0.2129
289,r      ,289,0.874,2.113,0.165,-0.0624,0.1195,0.0259
290,r      ,290,2.829,1.101,3.488,0.2287,0.0898,-0.1676
291,r      ,291,4.283,4.496,0.273,-0.0017,-0.154,0.1042
292,r      ,292,0.216,3.68,4.324,0.1786,-0.1887,-0.1855
293,r      ,293,3.108,3.812,1.911,-0.0017,0.1333,-0.2773
294,r      ,294,0.136,3.065,0.533,0.015,-0.1339,0.3154
295,r      ,295,3.177,3.713,4.149,-0.0129,-0.0189,-0.1299
296,r      ,296,0.932,0.962,4.563,0.2038,0.0519,0.0804
297,r      ,297,1.126,0.557,4.971,0.0857,-0.1674,-0.2098
298,r      ,298,3.241,2.078,4.447,0.1904,-0.0431,-0.2534
299,r      ,299,3.999,1.333,3.605,-0.2692,0.3172,0.261
300,r      ,300,2.958,2.202,2.375,-0.1418,-0.1152,-0.0957
301,r      ,301,0.685,4.194,3.593,0.1073,0.3759,0.1946
302,r      ,302,1.002,2.654,1.885,-0.0651,-0.0771,-0.1866
303,r      ,303,2.243,3.249,4.017,0.1532,0.2442,-0.0152
304,r      ,304,3.137,4.588,0.345,-0.2205,-0.2831,0.1403
305,r      ,305,1.29,4.945,2.369,0.0056,0,-0.3797
306,r      ,306,1.999,2.869,1.863,0.0462,0.0621,-0.1919
307,r      ,307,4.062,1.995,3.407,-0.2221,0.1627,-0.1038
308,r      ,308,2.284,2.095,0.035,0.0145,-0.074,-0.0989
309,r      ,309,1.223,2.868,2.79,0.0071,-0.038,0.2105
310,r      ,310,4.048,3.993,3.512,-0.0065,0.3086,-0.0403
311,r      ,311,2.15,4.018,3.789,-0.0138,-0.2423,-0.2563
312,r      ,312,3.09,1.514,0.233,-0.0022,-0.451,0.0596
313,r      ,313,2.882,1.575,1.62,-0.1424,-0.0623,-0.0107
314,r      ,314,1.926,4.638,0.12,-0.4996,-0.0177,-0.0391
315,r      ,315,0.507,0.774,1.286,0.1431,-0.3033,0.017
316,r      ,316,2.088,3.386,3.342,-0.1347,0.0688,0.0359
317,r      ,317,4.037,1.138,0.932,0.01,-0.0196,-0.0265
318,r      ,318,4.955,0.891,2.982,0.0129,-0.0514,-0.0337
319,r      ,319,3.291,0.868,1.563,-0.2953,0.1022,0.3085
320,r      ,320,0.361,1.882,1.435,0.0342,-0.1307,0.0064
321,r      ,321,0.842,3.963,3.056,-0.0683,-0.1153,0.1044
322,r      ,322,0.704,3.359,3.921,-0.1235,0.1063,0.3378
323,r      ,323,0.646,3.743,1.987,-0.2742,-0.0046,-0.084
324,r      ,324,0.141,2.136,1.235,-0.0563,0.0556,0.0939
325,r      ,325,3.437,3.532,4.916,0.1208,0.051,0.0806
326,r      ,326,4.629,1.964,2.214,0.2875,0.1222,-0.0032
327,r      ,327,2.517,2.801,1.775,-0.2435,0.015,-0.0143
328,r      ,328,2.464,4.289,1.227,0.0985,-0.0659,0.2103
329,r      ,329,1.916,1.944,4.176,0.1271,0.1338,-0.3007
330,r      ,330,2.708,3.623,0.7,0.1761,0.1371,0.0571
331,r      ,331,0.434,2.751,0.66,-0.0331,-0.1725,0.0197
332,r      ,332,3.767,3.964,1.823,0.0564,0.1173,0.0608
333,r      ,333,3.562,4.576,3.417,0.1185,0.1528,-0.1535
334,r      ,334,1.921,1.415,0.102,0.2984,-0.0358,0.278
335,r      ,335,2.405,3.372,3.082,-0.063,-0.1116,0.0845
336,r      ,336,4.633,3.036,0.214,0.171,-0.0485,-0.365
